sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Strava","18518",,2019-10-09 11:59:52 +0100,2019-10-09 11:01:31 +0100,2019-10-09 11:32:04 +0100,"HKWorkoutActivityTypeRunning",30.13333333333333,"min",6.5513,"km",0,"kcal"
"Strava","18518",,2019-10-10 18:55:24 +0100,2019-10-10 10:22:23 +0100,2019-10-10 10:37:09 +0100,"HKWorkoutActivityTypeCrossTraining",14.76666666666667,"min",0,"km",0,"kcal"
"Strava","18518",,2019-10-11 10:03:57 +0100,2019-10-11 09:02:34 +0100,2019-10-11 09:53:00 +0100,"HKWorkoutActivityTypeRunning",49.95,"min",10.7391,"km",0,"kcal"
"Strava","18518",,2019-10-14 15:09:39 +0100,2019-10-14 09:57:57 +0100,2019-10-14 10:48:16 +0100,"HKWorkoutActivityTypeRunning",48.76666666666667,"min",10.072,"km",0,"kcal"
"Strava","18518",,2019-10-15 18:58:13 +0100,2019-10-15 18:00:16 +0100,2019-10-15 18:14:54 +0100,"HKWorkoutActivityTypeRunning",12.56666666666667,"min",2.2757,"km",0,"kcal"
"Strava","18518",,2019-10-15 18:58:13 +0100,2019-10-15 18:12:41 +0100,2019-10-15 18:31:05 +0100,"HKWorkoutActivityTypeRunning",13.5,"min",3.7966,"km",0,"kcal"
"Strava","18518",,2019-10-15 18:58:13 +0100,2019-10-15 18:33:37 +0100,2019-10-15 18:47:44 +0100,"HKWorkoutActivityTypeRunning",12.1,"min",2.2553,"km",0,"kcal"
"Strava","18518",,2019-10-17 13:48:44 +0100,2019-10-17 12:49:15 +0100,2019-10-17 13:30:47 +0100,"HKWorkoutActivityTypeRunning",41.5,"min",9.0021,"km",0,"kcal"
"Strava","18518",,2019-10-20 15:31:53 +0100,2019-10-19 11:11:49 +0100,2019-10-19 11:42:33 +0100,"HKWorkoutActivityTypeRunning",29.88333333333333,"min",6.343,"km",0,"kcal"
"Strava","18518",,2019-10-21 01:46:11 +0100,2019-10-20 13:57:09 +0100,2019-10-20 15:33:50 +0100,"HKWorkoutActivityTypeRunning",47.56666666666667,"min",5.7874,"km",0,"kcal"
"Strava","18518",,2019-10-23 07:56:31 +0100,2019-10-21 11:08:42 +0100,2019-10-21 11:38:48 +0100,"HKWorkoutActivityTypeRunning",29.1,"min",6.129,"km",0,"kcal"
"Strava","18518",,2019-10-23 07:56:31 +0100,2019-10-22 10:19:19 +0100,2019-10-22 10:48:40 +0100,"HKWorkoutActivityTypeRunning",28.61666666666667,"min",6.0181,"km",0,"kcal"
"Strava","18518",,2019-10-23 13:19:16 +0100,2019-10-23 12:12:39 +0100,2019-10-23 12:56:49 +0100,"HKWorkoutActivityTypeRunning",43.4,"min",9.585600000000001,"km",0,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7da40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-10-23 15:50:18 +0100,2019-10-23 15:38:15 +0100,2019-10-23 15:50:17 +0100,"HKWorkoutActivityTypeWalking",12.02513406078021,"min",0.8431258052168857,"km",38.11784839401403,"kcal"
"Strava","18518",,2019-10-31 12:13:22 +0100,2019-10-31 10:04:31 +0100,2019-10-31 11:11:35 +0100,"HKWorkoutActivityTypeRunning",66.2,"min",14.5406,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-10-31 10:04:31 +0100,2019-10-31 11:11:35 +0100,"HKWorkoutActivityTypeRunning",66.2,"min",14.5406,"km",0,"kcal"
"Strava","18518",,2019-11-02 13:38:07 +0100,2019-11-02 12:17:50 +0100,2019-11-02 13:07:14 +0100,"HKWorkoutActivityTypeRunning",48.78333333333333,"min",9.9245,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-11-02 12:17:50 +0100,2019-11-02 13:07:14 +0100,"HKWorkoutActivityTypeRunning",48.78333333333333,"min",9.9245,"km",0,"kcal"
"Strava","18518",,2019-11-04 21:24:29 +0100,2019-11-04 17:19:34 +0100,2019-11-04 18:35:21 +0100,"HKWorkoutActivityTypeCrossTraining",75.78333333333333,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-11-04 17:19:34 +0100,2019-11-04 18:35:21 +0100,"HKWorkoutActivityTypeCrossTraining",75.78333333333333,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-04 17:19:34 +0100,2019-11-04 18:35:21 +0100,"HKWorkoutActivityTypeCrossTraining",75.78333333333333,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-05 10:52:58 +0100,2019-11-05 09:51:02 +0100,2019-11-05 10:06:33 +0100,"HKWorkoutActivityTypeRunning",15.46666666666667,"min",4.0239,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-11-05 09:51:02 +0100,2019-11-05 10:06:33 +0100,"HKWorkoutActivityTypeRunning",15.46666666666667,"min",4.0239,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-05 09:51:02 +0100,2019-11-05 10:06:33 +0100,"HKWorkoutActivityTypeRunning",15.46666666666667,"min",4.0239,"km",0,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7db80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-11-06 13:53:34 +0100,2019-11-06 13:29:55 +0100,2019-11-06 13:53:32 +0100,"HKWorkoutActivityTypeWalking",23.61892791390419,"min",0.0163995998777682,"km",8.05100000000003,"kcal"
"Strava","18518",,2019-11-07 13:44:42 +0100,2019-11-07 12:09:27 +0100,2019-11-07 13:32:50 +0100,"HKWorkoutActivityTypeRunning",83.06666666666666,"min",15.9283,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-11-07 12:09:27 +0100,2019-11-07 13:32:50 +0100,"HKWorkoutActivityTypeRunning",83.06666666666666,"min",15.9283,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-07 12:09:27 +0100,2019-11-07 13:32:50 +0100,"HKWorkoutActivityTypeRunning",83.06666666666666,"min",15.9283,"km",0,"kcal"
"Strava","18518",,2019-11-08 12:57:10 +0100,2019-11-08 12:05:40 +0100,2019-11-08 12:38:30 +0100,"HKWorkoutActivityTypeRunning",31.3,"min",6.3521,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-11-08 12:05:40 +0100,2019-11-08 12:38:30 +0100,"HKWorkoutActivityTypeRunning",31.3,"min",6.3521,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-08 12:05:40 +0100,2019-11-08 12:38:30 +0100,"HKWorkoutActivityTypeRunning",31.3,"min",6.3521,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:20:08 +0100,2019-11-09 16:20:21 +0100,2019-11-09 18:03:04 +0100,"HKWorkoutActivityTypeCrossTraining",102.7166666666667,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:11 +0100,2019-11-09 16:20:21 +0100,2019-11-09 18:03:04 +0100,"HKWorkoutActivityTypeCrossTraining",102.7166666666667,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-10 09:21:12 +0100,2019-11-09 16:20:21 +0100,2019-11-09 18:03:04 +0100,"HKWorkoutActivityTypeCrossTraining",102.7166666666667,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-09 16:20:21 +0100,2019-11-09 18:03:04 +0100,"HKWorkoutActivityTypeCrossTraining",102.7166666666667,"min",0,"km",0,"kcal"
"Strava","18518",,2019-11-10 15:31:25 +0100,2019-11-10 14:44:09 +0100,2019-11-10 14:53:21 +0100,"HKWorkoutActivityTypeRunning",8.766666666666667,"min",1.6489,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-10 14:44:09 +0100,2019-11-10 14:53:21 +0100,"HKWorkoutActivityTypeRunning",8.766666666666667,"min",1.6489,"km",0,"kcal"
"Strava","18518",,2019-11-10 15:31:25 +0100,2019-11-10 14:53:02 +0100,2019-11-10 15:13:39 +0100,"HKWorkoutActivityTypeRunning",20.53333333333333,"min",5.023,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-10 14:53:02 +0100,2019-11-10 15:13:39 +0100,"HKWorkoutActivityTypeRunning",20.53333333333333,"min",5.023,"km",0,"kcal"
"Strava","18518",,2019-11-11 15:48:41 +0100,2019-11-11 14:16:10 +0100,2019-11-11 14:47:23 +0100,"HKWorkoutActivityTypeRunning",30,"min",6.057600000000001,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-11 14:16:10 +0100,2019-11-11 14:47:23 +0100,"HKWorkoutActivityTypeRunning",30,"min",6.057600000000001,"km",0,"kcal"
"Strava","18518",,2019-11-13 16:15:54 +0100,2019-11-13 14:17:09 +0100,2019-11-13 15:17:53 +0100,"HKWorkoutActivityTypeRunning",60.26666666666667,"min",13.395,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-13 14:17:09 +0100,2019-11-13 15:17:53 +0100,"HKWorkoutActivityTypeRunning",60.26666666666667,"min",13.395,"km",0,"kcal"
"Strava","18518",,2019-11-14 15:57:45 +0100,2019-11-14 14:04:46 +0100,2019-11-14 14:37:17 +0100,"HKWorkoutActivityTypeRunning",31.98333333333333,"min",6.4487,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-14 14:04:46 +0100,2019-11-14 14:37:17 +0100,"HKWorkoutActivityTypeRunning",31.98333333333333,"min",6.4487,"km",0,"kcal"
"Strava","18518",,2019-11-18 12:22:23 +0100,2019-11-16 11:44:49 +0100,2019-11-16 14:53:37 +0100,"HKWorkoutActivityTypeRunning",188.8,"min",8.204700000000001,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:40:34 +0100,2019-11-16 11:44:49 +0100,2019-11-16 14:53:37 +0100,"HKWorkoutActivityTypeRunning",188.8,"min",8.204700000000001,"km",0,"kcal"
"Strava","18518",,2019-11-18 14:49:53 +0100,2019-11-18 12:29:31 +0100,2019-11-18 13:01:39 +0100,"HKWorkoutActivityTypeRunning",32,"min",6.6626,"km",0,"kcal"
"Strava","18518",,2019-11-19 15:56:20 +0100,2019-11-19 13:29:33 +0100,2019-11-19 13:42:50 +0100,"HKWorkoutActivityTypeRunning",12.13333333333333,"min",2.2131,"km",0,"kcal"
"Strava","18518",,2019-11-19 15:56:18 +0100,2019-11-19 13:42:57 +0100,2019-11-19 14:22:08 +0100,"HKWorkoutActivityTypeRunning",29.7,"min",8.0341,"km",0,"kcal"
"Strava","18518",,2019-11-19 15:56:18 +0100,2019-11-19 14:24:22 +0100,2019-11-19 14:36:53 +0100,"HKWorkoutActivityTypeRunning",11.23333333333333,"min",2.0757,"km",0,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7dcc0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-11-19 18:34:28 +0100,2019-11-19 17:53:53 +0100,2019-11-19 18:34:25 +0100,"HKWorkoutActivityTypeWalking",40.53831420739492,"min",2.561869278723447,"km",126.8175644860412,"kcal"
"Strava","18518",,2019-11-21 13:04:26 +0100,2019-11-21 11:57:28 +0100,2019-11-21 12:14:29 +0100,"HKWorkoutActivityTypeRunning",15.71666666666667,"min",2.932,"km",0,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7de00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-11-23 13:02:42 +0100,2019-11-23 11:42:15 +0100,2019-11-23 13:02:36 +0100,"HKWorkoutActivityTypeWalking",80.35452200174332,"min",5.289627185536983,"km",289.7214442832113,"kcal"
"Strava","18518",,2019-11-24 12:07:10 +0100,2019-11-24 09:36:21 +0100,2019-11-24 11:11:40 +0100,"HKWorkoutActivityTypeRunning",95.31666666666666,"min",21.6993,"km",0,"kcal"
"Strava","18518",,2019-11-25 15:33:38 +0100,2019-11-25 14:50:03 +0100,2019-11-25 15:19:33 +0100,"HKWorkoutActivityTypeRunning",29.28333333333333,"min",6.3506,"km",0,"kcal"
